City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
106,Fortuna,US,40.6,-124.16,59.0,76,90,11.41,overcast clouds,0.0,0
107,Hovd,MN,48.01,91.64,75.58,23,2,3.74,clear sky,0.0,0
108,Bathsheba,BB,13.22,-59.52,82.4,74,40,17.22,scattered clouds,0.0,0
109,Ribeira Grande,PT,38.52,-28.7,66.85,94,86,7.47,overcast clouds,0.0,0
110,Port Hawkesbury,CA,45.62,-61.35,61.0,100,90,4.7,overcast clouds,0.0,0
111,Stege,DK,54.99,12.28,68.0,93,66,10.54,broken clouds,0.0,0
112,Calderitas,MX,18.55,-88.25,80.64,82,3,9.24,light rain,0.65,0
113,Talnakh,RU,69.49,88.4,75.2,57,59,17.9,broken clouds,0.0,0
114,Pevek,RU,69.7,170.31,32.27,98,97,20.62,overcast clouds,0.0,0
115,Grand Gaube,MU,-20.01,57.66,72.0,78,53,5.99,broken clouds,0.0,0
116,Yamada,JP,39.47,141.95,75.31,61,100,9.24,overcast clouds,0.0,0
117,Dunedin,NZ,-45.87,170.5,50.0,93,100,3.0,moderate rain,1.78,0
118,Avarua,CK,-21.21,-159.78,75.2,60,0,11.41,clear sky,0.0,0
119,Port Alfred,ZA,-33.59,26.89,61.81,50,85,34.63,overcast clouds,0.0,0
120,Yumen,CN,40.28,97.2,74.61,28,0,5.28,clear sky,0.0,0
121,Sora,IT,41.72,13.61,72.0,73,89,4.0,overcast clouds,0.0,0
122,Kaiyuan,CN,23.7,103.3,80.13,62,87,6.31,overcast clouds,0.0,0
123,Monrovia,LR,6.3,-10.8,76.08,87,98,5.03,light rain,0.97,0
124,Rundu,NA,-17.93,19.77,50.0,49,0,2.24,clear sky,0.0,0
125,Prudentopolis,BR,-25.21,-50.98,53.8,92,100,2.59,overcast clouds,0.0,0
126,Copiapo,CL,-27.37,-70.33,53.6,81,75,11.41,broken clouds,0.0,0
127,Klaksvik,FO,62.23,-6.59,55.4,100,100,18.34,light rain,0.0,0
128,Amnat Charoen,TH,15.86,104.63,89.31,58,30,9.19,scattered clouds,0.0,0
129,Riyadh,SA,24.69,46.72,80.6,22,7,4.7,clear sky,0.0,0
130,Wuchang,CN,44.91,127.15,77.34,56,0,4.74,clear sky,0.0,0
131,Guaranda,EC,-1.6,-79.0,51.1,72,46,7.18,scattered clouds,0.0,0
